UserID,Risk_Level,Year,Portfolio_Performance,Stock_Count,Buy&Hold_CAGR,Portfolio_CAGR
538,medium,2021,54.966%,3,5.24%,60.207%
539,medium,2021,25.87%,3,5.338%,31.208%
540,medium,2021,28.153%,3,3.871%,32.024%
541,medium,2021,28.153%,3,3.871%,32.024%
542,medium,2021,33.382%,3,6.274%,39.655%
543,high,2021,28.781%,3,-12.585%,16.196%
544,medium,2021,32.164%,3,7.643%,39.807%
545,medium,2021,54.966%,3,5.24%,60.207%
546,medium,2021,28.153%,3,3.871%,32.024%
547,medium,2021,28.153%,3,3.871%,32.024%
548,medium,2021,11.729%,3,6.696%,18.425%
549,medium,2021,40.825%,3,6.598%,47.423%
550,low,2021,6.647%,3,13.719%,20.366%
551,medium,2021,40.825%,3,6.598%,47.423%
552,medium,2021,47.163%,3,42.219%,89.382%
553,medium,2021,28.153%,3,3.871%,32.024%
554,medium,2021,44.836%,3,10.371%,55.207%
555,medium,2021,54.966%,3,5.24%,60.207%
556,medium,2021,40.825%,3,6.598%,47.423%
557,low,2021,-17.833%,3,42.74%,24.907%
558,medium,2021,28.153%,3,3.871%,32.024%
559,medium,2021,23.061%,3,7.436%,30.497%
560,medium,2021,28.153%,3,3.871%,32.024%
561,high,2021,19.697%,3,53.138%,72.835%
562,low,2021,8.31%,3,-8.108%,0.202%
563,medium,2021,10.072%,3,10.079%,20.151%
564,low,2021,-17.833%,3,42.74%,24.907%
565,low,2021,-29.172%,3,85.653%,56.48%
566,medium,2021,28.153%,3,3.871%,32.024%
567,medium,2021,44.657%,3,8.345%,53.003%
569,medium,2021,49.578%,3,5.858%,55.436%
570,medium,2021,22.038%,3,3.591%,25.629%
571,medium,2021,23.255%,3,2.221%,25.477%
572,low,2021,-17.833%,3,42.74%,24.907%
573,medium,2021,28.153%,3,3.871%,32.024%
574,medium,2021,40.825%,3,6.598%,47.423%
575,medium,2021,35.954%,3,19.827%,55.78%
576,medium,2021,11.729%,3,6.696%,18.425%
577,medium,2021,39.565%,3,11.911%,51.476%
578,medium,2021,28.153%,3,3.871%,32.024%
579,medium,2021,47.163%,3,42.219%,89.382%
580,medium,2021,42.071%,3,45.785%,87.855%
581,high,2021,71.82%,3,-4.942%,66.879%
582,medium,2021,28.153%,3,3.871%,32.024%
583,medium,2021,28.102%,3,2.264%,30.366%
584,low,2021,-17.833%,3,42.74%,24.907%
585,high,2021,35.422%,3,19.992%,55.414%
586,high,2021,19.697%,3,53.138%,72.835%
587,medium,2021,28.153%,3,3.871%,32.024%
588,medium,2021,28.153%,3,3.871%,32.024%
589,medium,2021,44.657%,3,8.345%,53.003%
590,medium,2021,36.382%,3,47.108%,83.49%
591,high,2021,19.697%,3,53.138%,72.835%
592,high,2021,21.958%,3,12.044%,34.002%
593,medium,2021,28.153%,3,3.871%,32.024%
594,medium,2021,44.657%,3,8.345%,53.003%
595,medium,2021,28.153%,3,3.871%,32.024%
596,medium,2021,22.038%,3,3.591%,25.629%
597,medium,2021,42.071%,3,45.785%,87.855%
598,high,2021,35.422%,3,19.992%,55.414%
599,medium,2021,28.153%,3,3.871%,32.024%
600,high,2021,19.697%,3,53.138%,72.835%
601,high,2021,19.697%,3,53.138%,72.835%
602,high,2021,19.697%,3,53.138%,72.835%
603,low,2021,-23.092%,3,79.996%,56.903%
604,medium,2021,28.153%,3,3.871%,32.024%
605,medium,2021,60.02%,3,4.52%,64.54%
606,medium,2021,60.02%,3,4.52%,64.54%
607,low,2021,6.478%,3,8.08%,14.558%
608,medium,2021,54.966%,3,5.24%,60.207%
609,medium,2021,40.825%,3,6.598%,47.423%
610,medium,2021,28.153%,3,3.871%,32.024%
611,medium,2021,22.038%,3,3.591%,25.629%
612,medium,2021,28.153%,3,3.871%,32.024%
613,medium,2021,28.153%,3,3.871%,32.024%
614,medium,2021,28.153%,3,3.871%,32.024%
615,medium,2021,3.005%,3,59.137%,62.142%
616,medium,2021,28.153%,3,3.871%,32.024%
617,high,2021,19.697%,3,53.138%,72.835%
618,low,2021,-14.531%,3,25.398%,10.867%
619,medium,2021,45.859%,3,14.216%,60.075%
620,medium,2021,25.87%,3,5.338%,31.208%
621,high,2021,19.697%,3,53.138%,72.835%
622,medium,2021,44.657%,3,8.345%,53.003%
623,high,2021,71.82%,3,-4.942%,66.879%
624,high,2021,19.697%,3,53.138%,72.835%
625,medium,2021,28.153%,3,3.871%,32.024%
626,medium,2021,22.038%,3,3.591%,25.629%
627,medium,2021,28.153%,3,3.871%,32.024%
628,medium,2021,28.153%,3,3.871%,32.024%
629,medium,2021,32.726%,3,32.532%,65.258%
630,high,2021,19.697%,3,53.138%,72.835%
631,medium,2021,57.674%,3,8.941%,66.616%
632,medium,2021,40.825%,3,6.598%,47.423%
633,medium,2021,28.153%,3,3.871%,32.024%
634,high,2021,19.697%,3,53.138%,72.835%
635,medium,2021,42.309%,3,3.358%,45.667%
636,medium,2021,28.153%,3,3.871%,32.024%
637,medium,2021,28.153%,3,3.871%,32.024%
638,low,2021,-21.476%,3,47.193%,25.717%
639,low,2021,-14.531%,3,25.398%,10.867%
640,medium,2021,22.038%,3,3.591%,25.629%
641,high,2021,19.697%,3,53.138%,72.835%
642,medium,2021,28.153%,3,3.871%,32.024%
643,medium,2021,28.102%,3,2.264%,30.366%
644,medium,2021,44.005%,3,3.085%,47.091%
645,medium,2021,39.565%,3,11.911%,51.476%
646,medium,2021,28.153%,3,3.871%,32.024%
647,medium,2021,28.153%,3,3.871%,32.024%
648,medium,2021,11.729%,3,6.696%,18.425%
649,low,2021,-25.267%,3,83.298%,58.032%
650,medium,2021,28.153%,3,3.871%,32.024%
651,high,2021,18.627%,3,90.546%,109.172%
652,medium,2021,36.016%,3,1.053%,37.068%
653,medium,2021,39.645%,3,24.931%,64.576%
654,medium,2021,9.025%,3,-2.009%,7.016%
655,medium,2021,28.153%,3,3.871%,32.024%
656,medium,2021,28.153%,3,3.871%,32.024%
657,medium,2021,3.005%,3,59.137%,62.142%
658,medium,2021,44.657%,3,8.345%,53.003%
659,high,2021,19.697%,3,53.138%,72.835%
661,medium,2021,34.527%,3,13.476%,48.003%
662,high,2021,35.422%,3,19.992%,55.414%
663,medium,2021,39.565%,3,11.911%,51.476%
664,low,2021,-0.468%,3,29.875%,29.407%
665,medium,2021,28.153%,3,3.871%,32.024%
666,low,2021,-17.901%,3,66.222%,48.32%
667,high,2021,21.958%,3,12.044%,34.002%
668,high,2021,19.697%,3,53.138%,72.835%
669,medium,2021,21.855%,3,10.748%,32.603%
670,low,2021,-30.724%,3,78.498%,47.774%
671,medium,2021,54.966%,3,5.24%,60.207%
672,medium,2021,28.153%,3,3.871%,32.024%
673,medium,2021,32.726%,3,32.532%,65.258%
674,medium,2021,48.669%,3,12.118%,60.786%
675,high,2021,19.697%,3,53.138%,72.835%
676,medium,2021,42.309%,3,3.358%,45.667%
677,medium,2021,35.857%,3,56.5%,92.357%
678,high,2021,21.958%,3,12.044%,34.002%
679,high,2021,19.697%,3,53.138%,72.835%
680,low,2021,-17.833%,3,42.74%,24.907%
681,medium,2021,38.774%,3,6.298%,45.072%
682,medium,2021,11.729%,3,6.696%,18.425%
683,low,2021,2.835%,3,12.533%,15.368%
684,high,2021,19.697%,3,53.138%,72.835%
685,medium,2021,28.153%,3,3.871%,32.024%
686,medium,2021,28.153%,3,3.871%,32.024%
687,high,2021,19.697%,3,53.138%,72.835%
688,medium,2021,28.153%,3,3.871%,32.024%
689,medium,2021,28.153%,3,3.871%,32.024%
690,medium,2021,49.578%,3,5.858%,55.436%
691,medium,2021,28.102%,3,2.264%,30.366%
692,medium,2021,54.966%,3,5.24%,60.207%
693,medium,2021,34.527%,3,13.476%,48.003%
694,medium,2021,16.373%,3,19.833%,36.205%
695,medium,2021,22.038%,3,3.591%,25.629%
696,medium,2021,53.842%,3,7.194%,61.036%
697,medium,2021,28.153%,3,3.871%,32.024%
698,low,2021,7.348%,3,23.806%,31.155%
699,medium,2021,28.153%,3,3.871%,32.024%
700,high,2021,19.697%,3,53.138%,72.835%
701,medium,2021,40.825%,3,6.598%,47.423%
702,medium,2021,28.153%,3,3.871%,32.024%
703,medium,2021,28.153%,3,3.871%,32.024%
704,high,2021,19.697%,3,53.138%,72.835%
705,high,2021,19.697%,3,53.138%,72.835%
706,medium,2021,32.726%,3,32.532%,65.258%
707,high,2021,19.697%,3,53.138%,72.835%
708,medium,2021,28.153%,3,3.871%,32.024%
709,medium,2021,40.825%,3,6.598%,47.423%
711,medium,2021,39.565%,3,11.911%,51.476%
712,medium,2021,28.153%,3,3.871%,32.024%
713,medium,2021,50.951%,3,10.65%,61.602%
714,medium,2021,40.825%,3,6.598%,47.423%
715,low,2021,-17.833%,3,42.74%,24.907%
716,low,2021,-17.833%,3,42.74%,24.907%
717,high,2021,19.697%,3,53.138%,72.835%
718,high,2021,28.781%,3,-12.585%,16.196%
719,medium,2021,28.153%,3,3.871%,32.024%
720,medium,2021,33.278%,3,82.806%,116.084%
721,medium,2021,42.071%,3,45.785%,87.855%
722,medium,2021,54.966%,3,5.24%,60.207%
723,low,2021,-23.092%,3,79.996%,56.903%
724,medium,2021,28.153%,3,3.871%,32.024%
725,high,2021,19.697%,3,53.138%,72.835%
726,medium,2021,34.527%,3,13.476%,48.003%
727,high,2021,19.697%,3,53.138%,72.835%
728,high,2021,21.958%,3,12.044%,34.002%
729,medium,2021,23.061%,3,7.436%,30.497%
730,medium,2021,28.153%,3,3.871%,32.024%
731,medium,2021,50.951%,3,10.65%,61.602%
732,medium,2021,18.023%,3,9.001%,27.024%
733,low,2021,-12.6%,3,64.441%,51.84%
734,medium,2021,28.153%,3,3.871%,32.024%
735,high,2021,35.422%,3,19.992%,55.414%
736,medium,2021,57.674%,3,8.941%,66.616%
737,medium,2021,28.153%,3,3.871%,32.024%
738,medium,2021,39.565%,3,11.911%,51.476%
739,medium,2021,22.038%,3,3.591%,25.629%
740,medium,2021,21.855%,3,10.748%,32.603%
741,medium,2021,22.038%,3,3.591%,25.629%
742,low,2021,-14.531%,3,25.398%,10.867%
743,medium,2021,39.645%,3,24.931%,64.576%
744,low,2021,-17.833%,3,42.74%,24.907%
745,high,2021,35.422%,3,19.992%,55.414%
746,medium,2021,28.153%,3,3.871%,32.024%
747,low,2021,6.478%,3,8.08%,14.558%
748,medium,2021,-9.978%,3,16.842%,6.864%
749,medium,2021,28.153%,3,3.871%,32.024%
750,medium,2021,28.153%,3,3.871%,32.024%
751,medium,2021,28.153%,3,3.871%,32.024%
752,medium,2021,47.163%,3,42.219%,89.382%
753,medium,2021,28.153%,3,3.871%,32.024%
754,medium,2021,40.825%,3,6.598%,47.423%
755,medium,2021,11.729%,3,6.696%,18.425%
756,medium,2021,-3.322%,3,9.877%,6.555%
757,medium,2021,19.988%,3,6.071%,26.059%
758,low,2021,-6.804%,3,16.254%,9.45%
759,low,2021,17.513%,3,5.868%,23.382%
760,medium,2021,28.153%,3,3.871%,32.024%
761,medium,2021,32.164%,3,7.643%,39.807%
762,medium,2021,28.153%,3,3.871%,32.024%
763,medium,2021,32.726%,3,32.532%,65.258%
764,medium,2021,28.153%,3,3.871%,32.024%
765,medium,2021,28.153%,3,3.871%,32.024%
766,high,2021,19.697%,3,53.138%,72.835%
767,medium,2021,40.825%,3,6.598%,47.423%
768,medium,2021,28.153%,3,3.871%,32.024%
769,medium,2021,39.645%,3,24.931%,64.576%
770,medium,2021,28.153%,3,3.871%,32.024%
771,medium,2021,31.182%,3,8.754%,39.936%
772,medium,2021,22.038%,3,3.591%,25.629%
773,medium,2021,28.153%,3,3.871%,32.024%
774,medium,2021,-6.645%,3,47.331%,40.687%
775,medium,2021,28.153%,3,3.871%,32.024%
776,high,2021,19.697%,3,53.138%,72.835%
777,medium,2021,45.859%,3,14.216%,60.075%
778,medium,2021,28.153%,3,3.871%,32.024%
779,high,2021,19.697%,3,53.138%,72.835%
780,medium,2021,28.153%,3,3.871%,32.024%
781,medium,2021,25.87%,3,5.338%,31.208%
782,medium,2021,28.153%,3,3.871%,32.024%
783,medium,2021,28.153%,3,3.871%,32.024%
784,medium,2021,29.593%,3,37.843%,67.436%
785,medium,2021,28.153%,3,3.871%,32.024%
786,medium,2021,23.255%,3,2.221%,25.477%
