Sector,Stock,Model,Volatility
Entertainment,DIS,TWAP,16.033071475933145
Retail,TGT,CNN_LSTM_CLASS,16.028926678857523
Franchise,MCD,TWAP,15.927191484107569
Cloud Computing,CRM,CNN_LSTM_REG,15.908906759602129
Retail,HD,CAT,15.843604237612578
Retail,TGT,TWAP,15.73087939902492
Real Estate,EQR,TWAP,15.709454387178988
Franchise,SBUX,CNN_LSTM_CLASS,15.561001314335844
Airline,GD,CAT,15.531109487244043
Traveling,MAR,TWAP,15.459333134142009
Real Estate,AVB,[5]SVC,15.442137928717122
Real Estate,AVB,[5]SVR,15.370440709981208
Cloud Computing,GOOG,CNN_LSTM_CLASS,15.314439917933662
Retail,HD,XGB,15.178932455090198
Real Estate,EQR,CAT,15.033830738260514
Semiconductors,INTC,XGB,14.970586081347903
Cloud Computing,IBM,CNN_LSTM_CLASS,14.883304644562548
Retail,WMT,TWAP,14.779873058285974
Telecommunication,T,XGB,14.590628270685718
Franchise,SBUX,[5]SVC,14.507125671134691
Real Estate,HST,XGB,14.49560048198533
Retail,COST,[5]SVC,14.490701452014966
Telecommunication,CMCSA,CAT,14.45687890310518
Airline,GD,TWAP,14.385492526781809
Real Estate,HST,TWAP,14.373691079124225
Telecommunication,TMUS,CNN_LSTM_REG,14.369759583103349
Real Estate,EQR,CNN_LSTM_CLASS,14.313905826153812
Telecommunication,T,[5]SVR,14.15899528988719
Franchise,MCD,[5]SVC,14.15361908959448
Real Estate,AVB,CAT,14.072720486983387
Semiconductors,INTC,TWAP,13.906541454944692
Franchise,YUM,XGB,13.871054651426368
Retail,WMT,XGB,13.84567527459473
Franchise,DPZ,TWAP,13.7901362264068
Real Estate,PLD,CAT,13.755956112587322
Luxury Goods,PVH,CNN_LSTM_REG,13.74206437669877
Retail,COST,XGB,13.624241525415538
Semiconductors,INTC,CNN_LSTM_CLASS,13.582970956311437
Cloud Computing,CRM,CNN_LSTM_CLASS,13.544213665234455
Airline,GD,[5]SVC,13.517523723635463
Airline,LMT,CNN_LSTM_CLASS,13.439046167967495
Entertainment,DIS,CNN_LSTM_CLASS,13.429283922334308
Luxury Goods,EL,XGB,13.420017209555356
Real Estate,AVB,TWAP,13.26441785199716
Retail,WMT,[5]SVR,13.200840160852678
Telecommunication,T,[5]SVC,13.0408882621801
Luxury Goods,RACE,CNN_LSTM_REG,13.006877667859673
Telecommunication,T,TWAP,12.952671355287883
Luxury Goods,EL,CNN_LSTM_REG,12.746987505924311
Real Estate,SPG,TWAP,12.6914954651868
Cloud Computing,GOOG,XGB,12.672817366315984
Telecommunication,T,CAT,12.556684806641176
Real Estate,SPG,[5]SVC,12.407928532845055
Telecommunication,VZ,[5]SVR,12.384908635301349
Telecommunication,CHTR,CNN_LSTM_REG,12.348033388820609
Entertainment,DIS,[5]SVC,12.293431463300111
Luxury Goods,EL,CNN_LSTM_CLASS,12.282841496905151
Retail,WMT,CAT,12.26253100573722
Telecommunication,CMCSA,XGB,12.140833893067132
Traveling,MAR,CNN_LSTM_REG,12.02044904477762
Airline,GD,CNN_LSTM_CLASS,11.880256530820168
Cloud Computing,GOOG,TWAP,11.72883071750974
Telecommunication,VZ,CAT,11.706904556103389
Cloud Computing,IBM,TWAP,11.39535055563076
Franchise,YUM,CAT,11.386209286007436
Airline,BA,CNN_LSTM_REG,11.33523856534715
Cloud Computing,IBM,[5]SVR,11.16435249652512
Real Estate,AVB,XGB,11.134419180010717
Retail,WMT,CNN_LSTM_CLASS,11.090624311509591
Real Estate,AVB,CNN_LSTM_CLASS,11.064439821853998
Real Estate,PLD,CNN_LSTM_CLASS,11.06236627575889
Airline,LMT,TWAP,11.004978310703189
Traveling,BKNG,CNN_LSTM_REG,10.869969334516696
Real Estate,EQR,XGB,10.85958211947052
Retail,COST,TWAP,10.836993520872316
Semiconductors,MU,CNN_LSTM_REG,10.8265867637211
Franchise,YUM,CNN_LSTM_CLASS,10.70635147493122
Entertainment,DIS,[5]SVR,10.53258097071947
Telecommunication,VZ,[5]SVC,10.395978160075265
Telecommunication,CMCSA,CNN_LSTM_CLASS,10.391510500220384
Entertainment,DIS,CAT,10.35388953830533
Real Estate,SPG,XGB,10.277473285922817
Real Estate,SPG,CAT,10.207953948246622
Entertainment,DIS,XGB,10.063884273314487
Social Media,SNAP,[5]SVR,9.94192134348286
Retail,WMT,[5]SVC,9.837405532916064
Telecommunication,T,CNN_LSTM_CLASS,9.74418923305186
Retail,COST,CNN_LSTM_CLASS,9.63845052751886
Blockchain,FB,CNN_LSTM_REG,9.574546862334929
Entertainment,FB,CNN_LSTM_REG,9.574546862334929
Social Media,FB,CNN_LSTM_REG,9.574546862334929
Cloud Computing,GOOG,CNN_LSTM_REG,9.469817844077044
Semiconductors,INTC,CAT,9.455787847108446
Retail,HD,CNN_LSTM_REG,9.446031668680469
Real Estate,PLD,TWAP,9.284366275780869
Franchise,YUM,CNN_LSTM_REG,9.093984668057075
Semiconductors,INTC,[5]SVR,9.025965190440722
Telecommunication,CMCSA,CNN_LSTM_REG,8.872765178046915
Telecommunication,VZ,TWAP,8.842665241398013
